,Gold,Silver
"Jan 01, 2014","1,205.40",19.535
"Jan 02, 2014","1,225.00",20.098
"Jan 03, 2014","1,238.40",20.182000000000002
"Jan 06, 2014","1,237.80",20.077
"Jan 07, 2014","1,229.40",19.765
"Jan 08, 2014","1,225.30",19.518
"Jan 09, 2014","1,229.30",19.663
"Jan 10, 2014","1,246.70",20.201
"Jan 13, 2014","1,250.90",20.361
"Jan 14, 2014","1,245.20",20.250999999999998
"Jan 15, 2014","1,238.10",20.102999999999998
"Jan 16, 2014","1,240.00",20.025
"Jan 17, 2014","1,251.70",20.267
"Jan 20, 2014","1,255.10",20.32
"Jan 21, 2014","1,242.30",19.838
"Jan 22, 2014","1,239.00",19.809
"Jan 23, 2014","1,262.60",19.986
"Jan 24, 2014","1,264.50",19.743
"Jan 27, 2014","1,263.60",19.771
"Jan 28, 2014","1,251.00",19.483
"Jan 29, 2014","1,262.20",19.533
"Jan 30, 2014","1,242.20",19.111
"Jan 31, 2014","1,240.10",19.105
"Feb 03, 2014","1,260.40",19.389
"Feb 04, 2014","1,251.70",19.402
"Feb 05, 2014","1,257.30",19.785
"Feb 06, 2014","1,257.60",19.908
"Feb 07, 2014","1,263.30",19.92
"Feb 10, 2014","1,274.80",20.099
"Feb 11, 2014","1,290.10",20.143
"Feb 12, 2014","1,295.30",20.331
"Feb 13, 2014","1,300.40",20.385
"Feb 14, 2014","1,319.00",21.410999999999998
"Feb 17, 2014","1,328.50",21.83
"Feb 18, 2014","1,324.70",21.891
"Feb 19, 2014","1,320.60",21.844
"Feb 20, 2014","1,317.10",21.678
"Feb 21, 2014","1,323.90",21.776999999999997
"Feb 24, 2014","1,338.30",22.046999999999997
"Feb 25, 2014","1,343.00",21.96
"Feb 26, 2014","1,328.20",21.254
"Feb 27, 2014","1,331.60",21.314
"Feb 28, 2014","1,321.40",21.204
"Mar 03, 2014","1,350.10",21.448
"Mar 04, 2014","1,337.80",21.188000000000002
"Mar 05, 2014","1,340.20",21.239
"Mar 06, 2014","1,351.70",21.541999999999998
"Mar 07, 2014","1,338.10",20.897
"Mar 10, 2014","1,341.40",20.879
"Mar 11, 2014","1,346.50",20.784000000000002
"Mar 12, 2014","1,370.30",21.328000000000003
"Mar 13, 2014","1,372.20",21.169
"Mar 14, 2014","1,379.00",21.384
"Mar 17, 2014","1,372.90",21.249000000000002
"Mar 18, 2014","1,359.00",20.836
"Mar 19, 2014","1,341.40",20.8
"Mar 20, 2014","1,330.50",20.404
"Mar 21, 2014","1,336.00",20.285999999999998
"Mar 24, 2014","1,311.20",20.043
"Mar 25, 2014","1,311.40",19.955
"Mar 26, 2014","1,303.40",19.759
"Mar 27, 2014","1,294.70",19.69
