Date,GOLDAMGBD228NLBM
02-01-2014,1219.75
03-01-2014,1232.25
06-01-2014,1238
07-01-2014,1237.5
08-01-2014,1226.5
09-01-2014,1226
10-01-2014,1232.25
13-01-2014,1246
14-01-2014,1248.75
15-01-2014,1238
16-01-2014,1237.25
17-01-2014,1241
20-01-2014,1254.75
21-01-2014,1247.75
22-01-2014,1239.5
23-01-2014,1244.25
24-01-2014,1259.25
27-01-2014,1270
28-01-2014,1253.5
29-01-2014,1254.75
30-01-2014,1254
31-01-2014,1246.5
03-02-2014,1246.5
04-02-2014,1253
05-02-2014,1257
06-02-2014,1258.5
07-02-2014,1260
10-02-2014,1273.5
11-02-2014,1282.75
12-02-2014,1286.5
13-02-2014,1290.25
14-02-2014,1308.5
17-02-2014,1326
18-02-2014,1314
19-02-2014,1318.75
20-02-2014,1313.75
21-02-2014,1320.75
24-02-2014,1333
25-02-2014,1332.75
26-02-2014,1340
27-02-2014,1331
28-02-2014,1327.75
03-03-2014,1344.25
04-03-2014,1339.5
05-03-2014,1333.5
06-03-2014,1334.25
07-03-2014,1348.25
10-03-2014,1334.25
11-03-2014,1348
12-03-2014,1355.75
13-03-2014,1371
14-03-2014,1370
17-03-2014,1379
18-03-2014,1362.5
19-03-2014,1346
20-03-2014,1327
21-03-2014,1338.5
24-03-2014,1322
25-03-2014,1314.75
26-03-2014,1314.5
27-03-2014,1295
28-03-2014,1295.75
31-03-2014,1294
01-04-2014,1286.5
02-04-2014,1284
03-04-2014,1287.25
04-04-2014,1293.5
07-04-2014,1299
08-04-2014,1314.75
09-04-2014,1309.75
10-04-2014,1321.5
11-04-2014,1317.25
14-04-2014,1324.5
15-04-2014,1311.5
16-04-2014,1299
17-04-2014,1299.25
18-04-2014,.
21-04-2014,.
22-04-2014,1290.75
23-04-2014,1283.5
24-04-2014,1283.5
25-04-2014,1294.25
28-04-2014,1302
29-04-2014,1289.75
30-04-2014,1292
01-05-2014,1283
02-05-2014,1285
05-05-2014,.
06-05-2014,1308.5
07-05-2014,1311
08-05-2014,1291.25
09-05-2014,1289
12-05-2014,1292.75
13-05-2014,1292.75
14-05-2014,1300.25
15-05-2014,1303.75
16-05-2014,1293.75
19-05-2014,1301
20-05-2014,1291.5
21-05-2014,1292
22-05-2014,1294.5
23-05-2014,1292
26-05-2014,.
27-05-2014,1283
28-05-2014,1265.25
29-05-2014,1254
30-05-2014,1254
02-06-2014,1244.75
03-06-2014,1244.25
04-06-2014,1246
05-06-2014,1244.75
06-06-2014,1254
09-06-2014,1255
10-06-2014,1253.5
11-06-2014,1262.5
12-06-2014,1261.75
13-06-2014,1273
16-06-2014,1281.75
17-06-2014,1264.5
18-06-2014,1269
19-06-2014,1282
20-06-2014,1310
23-06-2014,1313.5
24-06-2014,1323
25-06-2014,1312
26-06-2014,1311.5
27-06-2014,1315.25
30-06-2014,1313
01-07-2014,1325.75
02-07-2014,1326.75
03-07-2014,1322.5
04-07-2014,1321.5
07-07-2014,1313.25
08-07-2014,1318.25
09-07-2014,1322.5
10-07-2014,1343.25
11-07-2014,1336.5
14-07-2014,1321.25
15-07-2014,1312
16-07-2014,1297.5
17-07-2014,1302.75
18-07-2014,1310.25
21-07-2014,1312.75
22-07-2014,1307
23-07-2014,1307.5
24-07-2014,1300
25-07-2014,1292.5
28-07-2014,1305
29-07-2014,1307.5
30-07-2014,1297.5
31-07-2014,1295
01-08-2014,1284.5
04-08-2014,1293.5
05-08-2014,1292.75
06-08-2014,1288.5
07-08-2014,1302
08-08-2014,1317.5
11-08-2014,1308.25
12-08-2014,1311
13-08-2014,1309.25
14-08-2014,1315
15-08-2014,1313.6
18-08-2014,1302.75
19-08-2014,1300.25
20-08-2014,1294.5
21-08-2014,1280.5
22-08-2014,1281
25-08-2014,.
26-08-2014,1286.5
27-08-2014,1285
28-08-2014,1288
29-08-2014,1285.75
01-09-2014,1287.25
02-09-2014,1277.75
03-09-2014,1268.5
04-09-2014,1271
05-09-2014,1264
08-09-2014,1267.25
09-09-2014,1256
10-09-2014,1254.25
11-09-2014,1247
12-09-2014,1237.25
15-09-2014,1234.75
16-09-2014,1238.75
17-09-2014,1236.5
18-09-2014,1223
19-09-2014,1222.5
22-09-2014,1214
23-09-2014,1225
24-09-2014,1224
25-09-2014,1210.5
26-09-2014,1222.25
29-09-2014,1217.75
30-09-2014,1210
01-10-2014,1208.5
02-10-2014,1214.5
03-10-2014,1207.5
06-10-2014,1193.25
07-10-2014,1207.5
08-10-2014,1220
09-10-2014,1227.5
10-10-2014,1222.25
13-10-2014,1228
14-10-2014,1233
15-10-2014,1223.5
16-10-2014,1241
17-10-2014,1238
20-10-2014,1241
21-10-2014,1251.75
22-10-2014,1246.75
23-10-2014,1240.5
24-10-2014,1231.75
27-10-2014,1230.5
28-10-2014,1228.25
29-10-2014,1228
30-10-2014,1205.75
31-10-2014,1173.25
03-11-2014,1170.75
04-11-2014,1169.25
05-11-2014,1145.25
06-11-2014,1144.5
07-11-2014,1145
10-11-2014,1172
11-11-2014,1151.25
12-11-2014,1163.25
13-11-2014,1161
14-11-2014,1154
17-11-2014,1187
18-11-2014,1202
19-11-2014,1200.75
20-11-2014,1194
21-11-2014,1193.25
24-11-2014,1196
25-11-2014,1202.25
26-11-2014,1195.75
