Date, Platinium
02-01-2014,1404.6
03-01-2014,1414.2
06-01-2014,1416.4
07-01-2014,1415.4
08-01-2014,1414.2
09-01-2014,1419.9
10-01-2014,1436.9
13-01-2014,1443.9
14-01-2014,1433.8
15-01-2014,1428.6
16-01-2014,1431.5
17-01-2014,1454.1
21-01-2014,1453.5
22-01-2014,1462.4
23-01-2014,1463.2
24-01-2014,1428.6
27-01-2014,1421.1
28-01-2014,1409.4
29-01-2014,1408.1
30-01-2014,1382.3
31-01-2014,1375.7
03-02-2014,1386.6
04-02-2014,1373.4
05-02-2014,1379.3
06-02-2014,1374.9
07-02-2014,1379.2
10-02-2014,1385.9
11-02-2014,1387.8
12-02-2014,1407.3
13-02-2014,1416.6
14-02-2014,1430.1
18-02-2014,1424.5
19-02-2014,1424.5
20-02-2014,1412.5
21-02-2014,1427.9
24-02-2014,1441.4
25-02-2014,1442.6
26-02-2014,1429.1
27-02-2014,1453.4
28-02-2014,1446.8
03-03-2014,1460.7
04-03-2014,1464.1
05-03-2014,1476.6
06-03-2014,1486.8
07-03-2014,1483.6
10-03-2014,1477.2
11-03-2014,1464.6
12-03-2014,1476.3
13-03-2014,1479.4
14-03-2014,1469.6
17-03-2014,1468.4
18-03-2014,1461.7
19-03-2014,1451.7
20-03-2014,1434.8
21-03-2014,1436
24-03-2014,1431.2
25-03-2014,1420.9
26-03-2014,1406.7
27-03-2014,1397.68
28-03-2014,1406.2
31-03-2014,1420.34
01-04-2014,1429.6
02-04-2014,1438.7
03-04-2014,1445.5
04-04-2014,1450.9
07-04-2014,1427.8
08-04-2014,1441.7
09-04-2014,1438.9
10-04-2014,1460.1
11-04-2014,1462.6
14-04-2014,1467.4
15-04-2014,1444.6
16-04-2014,1437.8
17-04-2014,1428.7
21-04-2014,1400.7
22-04-2014,1400.3
23-04-2014,1403.9
24-04-2014,1409.6
25-04-2014,1424.3
28-04-2014,1419.7
29-04-2014,1431.4
30-04-2014,1427.9
01-05-2014,1427.5
02-05-2014,1440.7
05-05-2014,1448.4
06-05-2014,1458.1
07-05-2014,1434.8
08-05-2014,1438.1
09-05-2014,1429.9
12-05-2014,1441.9
13-05-2014,1456
14-05-2014,1485.7
15-05-2014,1469.9
16-05-2014,1466.1
19-05-2014,1470.2
20-05-2014,1468.9
21-05-2014,1474.9
22-05-2014,1493.1
23-05-2014,1472.8
27-05-2014,1462.3
28-05-2014,1462.7
29-05-2014,1460.1
30-05-2014,1452.7
02-06-2014,1436.7
03-06-2014,1433.5
04-06-2014,1433.9
05-06-2014,1445.1
06-06-2014,1453
09-06-2014,1454.3
10-06-2014,1482.2
11-06-2014,1481.1
12-06-2014,1441.3
13-06-2014,1435
16-06-2014,1439.1
17-06-2014,1443.1
18-06-2014,1450.8
19-06-2014,1474.5
20-06-2014,1457.3
23-06-2014,1456.6
24-06-2014,1471.9
25-06-2014,1473.42
26-06-2014,1470.58
27-06-2014,1479.58
30-06-2014,1482.52
01-07-2014,1515
02-07-2014,1511.5
03-07-2014,1507.7
07-07-2014,1495.6
08-07-2014,1496.5
09-07-2014,1506.9
10-07-2014,1517
11-07-2014,1513.8
14-07-2014,1493
15-07-2014,1485
16-07-2014,1485.7
17-07-2014,1503.7
18-07-2014,1489.9
21-07-2014,1493.4
22-07-2014,1488.3
23-07-2014,1486.7
24-07-2014,1473.7
25-07-2014,1478.6
28-07-2014,1490.6
29-07-2014,1484.5
30-07-2014,1481.9
31-07-2014,1465.2
01-08-2014,1463.3
04-08-2014,1466.6
05-08-2014,1455.9
06-08-2014,1465.2
07-08-2014,1481.5
08-08-2014,1478.3
11-08-2014,1471.6
12-08-2014,1472.2
13-08-2014,1469.9
14-08-2014,1469.2
15-08-2014,1457.2
18-08-2014,1446.2
19-08-2014,1439.5
20-08-2014,1429.2
21-08-2014,1419.3
22-08-2014,1418.5
25-08-2014,1418.4
26-08-2014,1419.6
27-08-2014,1419.9
28-08-2014,1425.2
29-08-2014,1424.7
02-09-2014,1408.9
03-09-2014,1412.5
04-09-2014,1408.3
05-09-2014,1411
08-09-2014,1397.5
09-09-2014,1385.8
10-09-2014,1381
11-09-2014,1370.7
12-09-2014,1370.5
15-09-2014,1363.5
16-09-2014,1367.3
17-09-2014,1362.2
18-09-2014,1349.5
19-09-2014,1337.3
22-09-2014,1330.2
23-09-2014,1332.7
24-09-2014,1319.4
25-09-2014,1314.44
26-09-2014,1301.64
29-09-2014,1308.82
30-09-2014,1300.1
01-10-2014,1289.6
02-10-2014,1270.4
03-10-2014,1226.9
06-10-2014,1249.2
07-10-2014,1261.9
08-10-2014,1266.9
09-10-2014,1278.3
10-10-2014,1261.6
13-10-2014,1261.2
14-10-2014,1272.3
15-10-2014,1260.9
16-10-2014,1251.9
17-10-2014,1261.5
20-10-2014,1267.5
21-10-2014,1283
22-10-2014,1271.1
23-10-2014,1255
24-10-2014,1250.9
27-10-2014,1254.5
28-10-2014,1266.3
29-10-2014,1269.2
30-10-2014,1245.9
31-10-2014,1235.2
03-11-2014,1242.8
04-11-2014,1224.7
05-11-2014,1210.6
06-11-2014,1197.1
07-11-2014,1212.8
10-11-2014,1206.9
11-11-2014,1206.7
12-11-2014,1205.3
13-11-2014,1199
14-11-2014,1213.1
17-11-2014,1201.3
18-11-2014,1204.6
19-11-2014,1199.3
20-11-2014,1205.6
21-11-2014,1227.3
24-11-2014,1207.5
25-11-2014,1224.5
26-11-2014,1228.4
28-11-2014,1211.3
01-12-2014,1241.6
02-12-2014,1217.5
03-12-2014,1227.5
04-12-2014,1245.9
05-12-2014,1219.5
08-12-2014,1229.4
09-12-2014,1246.8
10-12-2014,1242.6
11-12-2014,1242.2
12-12-2014,1231.5
15-12-2014,1214.9
16-12-2014,1196.5
17-12-2014,1199.5
18-12-2014,1197.1
19-12-2014,1197
22-12-2014,1182.1
23-12-2014,1191.7
24-12-2014,1191.1
26-12-2014,1218.78
29-12-2014,1202.1
30-12-2014,1218.82
31-12-2014,1209.38
02-01-2015,1203.9
05-01-2015,1210.9
06-01-2015,1221.4
07-01-2015,1220.9
08-01-2015,1223
09-01-2015,1230.1
12-01-2015,1241
13-01-2015,1247.8
14-01-2015,1239
15-01-2015,1262.8
16-01-2015,1269.4
20-01-2015,1286.6
21-01-2015,1276.4
22-01-2015,1284.8
23-01-2015,1268.7
26-01-2015,1255
27-01-2015,1264.3
28-01-2015,1258.5
29-01-2015,1217.3
30-01-2015,1238.2
02-02-2015,1228.6
03-02-2015,1235.2
04-02-2015,1238.9
05-02-2015,1249.7
06-02-2015,1221.6
09-02-2015,1220.4
10-02-2015,1207.3
11-02-2015,1195.6
12-02-2015,1200.5
13-02-2015,1207.5
17-02-2015,1177
18-02-2015,1167.2
19-02-2015,1172.3
20-02-2015,1169.5
23-02-2015,1162.9
24-02-2015,1162.6
25-02-2015,1168.8
26-02-2015,1173.6
27-02-2015,1185.6
02-03-2015,1189.9
03-03-2015,1189.6
04-03-2015,1181.7
05-03-2015,1180.1
06-03-2015,1158.8
09-03-2015,1148.6
10-03-2015,1130
11-03-2015,1115.4
12-03-2015,1114.9
13-03-2015,1115.2
16-03-2015,1107.9
17-03-2015,1093.7
18-03-2015,1092.6
19-03-2015,1119.6
20-03-2015,1141.2
23-03-2015,1144.5
24-03-2015,1141.5
25-03-2015,1146.5
26-03-2015,1154.12
27-03-2015,1142.36
30-03-2015,1117.2
31-03-2015,1143.24
01-04-2015,1166
02-04-2015,1154.5
06-04-2015,1180.4
07-04-2015,1173.9
08-04-2015,1166.3
09-04-2015,1157
10-04-2015,1170.6
13-04-2015,1153.9
14-04-2015,1153.7
15-04-2015,1156.6
16-04-2015,1159.2
17-04-2015,1167.5
20-04-2015,1148.8
21-04-2015,1152.5
22-04-2015,1129.7
23-04-2015,1136.7
24-04-2015,1121.4
27-04-2015,1153.4
28-04-2015,1158.6
29-04-2015,1161.5
30-04-2015,1140.4
01-05-2015,1129.7
04-05-2015,1150.9
05-05-2015,1148.8
06-05-2015,1142.8
07-05-2015,1131.4
08-05-2015,1143.5
11-05-2015,1127.3
12-05-2015,1133
13-05-2015,1150.8
14-05-2015,1162.4
15-05-2015,1169.1
18-05-2015,1178.5
19-05-2015,1150.9
20-05-2015,1156.9
21-05-2015,1152.3
22-05-2015,1148.6
26-05-2015,1124.1
27-05-2015,1119
28-05-2015,1116.3
29-05-2015,1111.5
01-06-2015,1104.2
02-06-2015,1112.8
03-06-2015,1104.1
04-06-2015,1099.2
05-06-2015,1092
08-06-2015,1101.2
09-06-2015,1108.5
10-06-2015,1115.2
11-06-2015,1105.2
12-06-2015,1096.8
15-06-2015,1088.6
16-06-2015,1079.8
17-06-2015,1072.7
18-06-2015,1082.8
19-06-2015,1086.8
22-06-2015,1060.6
23-06-2015,1067.5
24-06-2015,1074.1
25-06-2015,1084.26
26-06-2015,1080.7
29-06-2015,1081.94
30-06-2015,1079.32
01-07-2015,1087.8
02-07-2015,1084
06-07-2015,1066.3
07-07-2015,1041.5
08-07-2015,1035.8
09-07-2015,1022.4
10-07-2015,1032.3
14-07-2015,1028.4
15-07-2015,1021.7
16-07-2015,1011.6
17-07-2015,1001.3
20-07-2015,988.6
21-07-2015,984.3
22-07-2015,979.9
23-07-2015,981.1
24-07-2015,980.7
27-07-2015,988.9
28-07-2015,986.4
29-07-2015,984.9
30-07-2015,989.9
31-07-2015,985
03-08-2015,967.1
04-08-2015,958.5
05-08-2015,950.9
06-08-2015,956
07-08-2015,962.2
10-08-2015,989.8
11-08-2015,992.3
12-08-2015,999.9
13-08-2015,995
14-08-2015,994
17-08-2015,1000.7
18-08-2015,994.1
19-08-2015,1013.1
20-08-2015,1034.9
21-08-2015,1027.1
24-08-2015,991.5
25-08-2015,976.7
26-08-2015,980.2
27-08-2015,1006
28-08-2015,1021.7
31-08-2015,1010.5
01-09-2015,1008.4
02-09-2015,1013.6
03-09-2015,1010.1
04-09-2015,992.4
08-09-2015,1002.9
09-09-2015,981.2
10-09-2015,981.2
11-09-2015,964.9
14-09-2015,955.4
15-09-2015,958.2
16-09-2015,975.7
17-09-2015,968.4
18-09-2015,984.4
21-09-2015,973.7
22-09-2015,937.5
23-09-2015,932.4
24-09-2015,955.8
25-09-2015,951.14
28-09-2015,922.5
29-09-2015,917.7
30-09-2015,908.72
01-10-2015,905.2
02-10-2015,909.5
05-10-2015,912.9
06-10-2015,934.7
07-10-2015,946.4
08-10-2015,955.6
09-10-2015,981.4
12-10-2015,995.9
13-10-2015,992.6
14-10-2015,995.4
15-10-2015,1007
16-10-2015,1023.7
19-10-2015,1014.6
20-10-2015,1020.1
21-10-2015,1007.1
22-10-2015,1012.9
23-10-2015,1001.7
26-10-2015,997.5
27-10-2015,989.2
28-10-2015,1012.8
29-10-2015,993.3
30-10-2015,989.1
02-11-2015,978.4
03-11-2015,962.2
04-11-2015,954.8
05-11-2015,953.1
06-11-2015,940
09-11-2015,914.4
10-11-2015,899.5
11-11-2015,883.1
12-11-2015,876.9
13-11-2015,863.7
16-11-2015,865.5
17-11-2015,855
18-11-2015,848
19-11-2015,858.1
20-11-2015,855.9
23-11-2015,847.4
24-11-2015,841.7
25-11-2015,843.9
27-11-2015,835.8
30-11-2015,832.9
01-12-2015,835.4
02-12-2015,832.4
03-12-2015,847.5
04-12-2015,880.6
07-12-2015,863.2
08-12-2015,846.5
09-12-2015,865.8
10-12-2015,855.9
11-12-2015,843.7
14-12-2015,850.2
15-12-2015,855.8
16-12-2015,876
17-12-2015,844.7
18-12-2015,860.8
21-12-2015,881.3
22-12-2015,873
23-12-2015,868.1
24-12-2015,884.2
28-12-2015,881.16
29-12-2015,891.6
30-12-2015,872
31-12-2015,892.9
04-01-2016,884.5
05-01-2016,890
06-01-2016,875
07-01-2016,877.5
08-01-2016,878.7
11-01-2016,846.3
12-01-2016,838.6
13-01-2016,851.3
14-01-2016,834.8
15-01-2016,827.5
19-01-2016,830.3
20-01-2016,819.2
21-01-2016,819.5
22-01-2016,831.6
25-01-2016,861.5
26-01-2016,876.9
27-01-2016,882.1
28-01-2016,867.9
29-01-2016,874.3
01-02-2016,870.1
02-02-2016,855.7
03-02-2016,880.1
04-02-2016,906.3
05-02-2016,903.7
08-02-2016,928.7
09-02-2016,939.4
10-02-2016,934.2
11-02-2016,963.2
12-02-2016,958.1
16-02-2016,937.3
17-02-2016,949.7
18-02-2016,945.6
19-02-2016,945.6
22-02-2016,927.8
23-02-2016,943.5
24-02-2016,943.7
25-02-2016,927
26-02-2016,915.1
29-02-2016,934.3
01-03-2016,936.7
02-03-2016,936.2
03-03-2016,942.7
04-03-2016,986.3
07-03-2016,1002
08-03-2016,989.4
09-03-2016,982.8
10-03-2016,977.7
11-03-2016,969.7
14-03-2016,965.4
15-03-2016,959.8
16-03-2016,958.7
