Date, Oil
02-01-2014,95.44
03-01-2014,93.96
06-01-2014,93.43
07-01-2014,93.67
08-01-2014,92.33
09-01-2014,91.66
10-01-2014,92.72
13-01-2014,91.8
14-01-2014,92.59
15-01-2014,94.206
16-01-2014,94.016
17-01-2014,94.502
21-01-2014,94.974
22-01-2014,96.73
23-01-2014,97.32
24-01-2014,96.64
27-01-2014,95.72
28-01-2014,97.41
29-01-2014,97.36
30-01-2014,98.23
31-01-2014,97.49
03-02-2014,96.43
04-02-2014,97.19
05-02-2014,97.38
06-02-2014,97.84
07-02-2014,99.88
10-02-2014,100.06
11-02-2014,99.94
12-02-2014,100.37
13-02-2014,100.35
14-02-2014,100.266
18-02-2014,102.298
19-02-2014,103.028
20-02-2014,102.784
21-02-2014,102.2
24-02-2014,102.82
25-02-2014,101.83
26-02-2014,102.59
27-02-2014,102.4
28-02-2014,102.59
03-03-2014,104.92
04-03-2014,103.33
05-03-2014,101.45
06-03-2014,101.56
07-03-2014,102.58
10-03-2014,101.12
11-03-2014,100.03
12-03-2014,97.99
13-03-2014,98.2
14-03-2014,98.89
17-03-2014,97.988
18-03-2014,99.372
19-03-2014,99.65
20-03-2014,99.006
21-03-2014,99.46
24-03-2014,99.6
25-03-2014,99.19
26-03-2014,100.26
27-03-2014,101.28
28-03-2014,101.67
31-03-2014,101.58
01-04-2014,99.74
02-04-2014,99.62
03-04-2014,100.29
04-04-2014,101.14
07-04-2014,100.44
08-04-2014,102.56
09-04-2014,103.6
10-04-2014,103.4
11-04-2014,103.74
14-04-2014,104.05
15-04-2014,103.75
16-04-2014,103.614
17-04-2014,103.928
21-04-2014,103.938
22-04-2014,101.826
23-04-2014,101.44
24-04-2014,101.94
25-04-2014,100.6
28-04-2014,100.84
29-04-2014,101.28
30-04-2014,99.74
01-05-2014,99.42
02-05-2014,99.76
05-05-2014,99.48
06-05-2014,99.5
07-05-2014,100.77
08-05-2014,100.26
09-05-2014,99.99
12-05-2014,100.59
13-05-2014,101.7
14-05-2014,102.37
15-05-2014,101.426
16-05-2014,101.844
19-05-2014,102.31
20-05-2014,102.352
21-05-2014,104.07
22-05-2014,103.74
23-05-2014,104.35
27-05-2014,104.11
28-05-2014,102.72
29-05-2014,103.58
30-05-2014,102.71
02-06-2014,102.47
03-06-2014,102.66
04-06-2014,102.64
05-06-2014,102.48
06-06-2014,102.66
09-06-2014,104.41
10-06-2014,104.35
11-06-2014,104.4
12-06-2014,106.53
13-06-2014,106.91
16-06-2014,106.9
17-06-2014,106.262
18-06-2014,105.818
19-06-2014,106.202
