"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2018","15.626","15.545","15.660","15.480","2.53K","1.22%"
"Dec 30, 2018","15.438","15.457","15.457","15.420","-","-0.53%"
"Dec 28, 2018","15.521","15.390","15.535","15.385","1.86K","0.80%"
"Dec 27, 2018","15.398","15.180","15.420","15.095","2.07K","1.22%"
"Dec 26, 2018","15.212","14.950","15.325","14.880","1.58K","2.70%"
"Dec 25, 2018","14.812","14.835","14.875","14.812","-","-0.62%"
"Dec 24, 2018","14.905","14.825","14.955","14.810","0.74K","1.24%"
"Dec 23, 2018","14.723","14.732","14.738","14.715","-","-0.44%"
"Dec 21, 2018","14.788","14.925","14.945","14.760","0.96K","-1.12%"
"Dec 20, 2018","14.956","14.750","14.995","14.715","1.24K","0.35%"
"Dec 19, 2018","14.904","14.805","14.985","14.725","1.58K","0.79%"
"Dec 18, 2018","14.787","14.815","14.870","14.765","1.11K","-0.38%"
"Dec 17, 2018","14.844","14.720","14.855","14.705","0.87K","1.41%"
"Dec 16, 2018","14.637","14.623","14.648","14.620","-","-0.58%"
"Dec 14, 2018","14.722","14.905","14.920","14.645","1.28K","-1.45%"
"Dec 13, 2018","14.938","14.950","14.975","14.855","1.87K","0.02%"
"Dec 12, 2018","14.935","14.745","14.970","14.740","2.43K","1.51%"
"Dec 11, 2018","14.713","14.725","14.900","14.695","2.47K","0.15%"
"Dec 10, 2018","14.691","14.820","14.820","14.665","2.14K","-0.04%"
"Dec 09, 2018","14.697","14.735","14.735","14.697","-","-0.58%"
"Dec 07, 2018","14.782","14.630","14.815","14.600","2.13K","1.27%"
"Dec 06, 2018","14.597","14.680","14.685","14.510","1.04K","-0.52%"
"Dec 05, 2018","14.673","14.670","14.700","14.580","0.58K","-0.40%"
"Dec 04, 2018","14.732","14.585","14.830","14.575","0.98K","0.97%"
"Dec 03, 2018","14.591","14.420","14.730","14.385","1.84K","1.96%"
"Dec 02, 2018","14.310","14.305","14.355","14.290","-","0.02%"
"Nov 30, 2018","14.307","14.470","14.500","14.210","2.20K","-1.28%"
"Nov 29, 2018","14.492","14.515","14.545","14.440","1.33K","-0.37%"
"Nov 28, 2018","14.546","14.335","14.570","14.310","1.84K","1.63%"
"Nov 27, 2018","14.313","14.440","14.475","14.280","1.04K","-0.87%"
"Nov 26, 2018","14.438","14.500","14.615","14.425","3.12K","0.26%"
"Nov 25, 2018","14.400","14.405","14.425","14.390","-","-0.43%"
"Nov 23, 2018","14.462","14.690","14.715","14.405","0.94K","-0.06%"
"Nov 22, 2018","14.470","14.475","14.520","14.435","-","-1.69%"
"Nov 21, 2018","14.719","14.510","14.750","14.510","0.59K","1.65%"
"Nov 20, 2018","14.480","14.580","14.675","14.470","0.51K","-0.95%"
"Nov 19, 2018","14.619","14.595","14.635","14.555","0.36K","1.59%"
