,Date,NDAQ,SNP,^DJI,^GDAXI,^HSI,^N225,^AXJO,DEXJPUS,DEXUSAL,DEXUSEU,USD,Platinium,Oil,GOLDAMGBD228NLBM,Target
0,02-01-2014,35.7,59.74553299,16441.34961,9400.040039,23340.05078,,5350.100098,104.84,0.8924,1.367,80.62999725,,,,1
1,03-01-2014,36.23,58.80371857,16469.99023,9435.150391,22817.2793,,,104.46,0.8976,1.3606,80.79000092,,,,1
2,06-01-2014,36.32,57.73482513,16425.09961,9428,22684.15039,15908.87988,5317,104.38,0.8961,1.3636,80.65000153,,,,1
3,07-01-2014,36.5,57.55543518,16530.93945,9506.200195,22712.7793,15814.37012,5316,104.54,0.8923,1.3618,80.83000183,1515,105.34,1325.75,1
4,08-01-2014,36.6,56.97989273,16462.74023,9497.839844,22996.58984,16121.4502,5324.399902,104.87,0.8909,1.3586,81.04000092,1463.3,97.88,1284.5,1
5,09-01-2014,36.65,55.98574448,16444.75977,9421.610352,22787.33008,15880.33008,5312.399902,104.74,0.8886,1.3591,81.01000214,,,,-1
6,10-01-2014,36.36,56.65847397,16437.05078,9473.240234,22846.25,15912.05957,,104.06,0.8985,1.3664,80.66000366,1289.6,90.73,1208.5,-1
7,13-01-2014,35.66,56.20251083,16257.94043,9510.169922,22888.75977,,5212,103.31,0.9053,1.3647,80.51000214,1443.9,91.8,1246,1
8,14-01-2014,36.2,57.46574783,16373.86035,9540.509766,22791.2793,15422.40039,5245.399902,103.8,0.898,1.3682,80.61000061,1433.8,92.59,1248.75,-1
9,15-01-2014,35.99,57.27138901,16481.93945,9733.80957,22902,15808.73047,5309.100098,104.42,0.8925,1.3604,81,1428.6,94.206,1238,1
10,16-01-2014,36.41,57.00977707,16417.00977,9717.709961,22986.41016,15747.2002,5305.899902,104.32,0.8802,1.36,80.90000153,1431.5,94.016,1237.25,-1
11,17-01-2014,36.18,57.72736359,16458.56055,9742.959961,23133.34961,15734.45996,,104.32,0.8778,1.3554,81.26000214,1454.1,94.502,1241,-1
